lemma,roleset_id,name,role_count,example_count,source_file
choke_off,choke.03,to bring to an end,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\choke.xml
choke_up,choke.04,overcome with emotion,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\choke.xml
choose,choose.01,"choose, pick",5,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\choose.xml
chop,chop.01,cut up,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\chop.xml
chop_down,chop.02,"fell, as a tree",3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\chop.xml
chop_up,chop.03,render into pieces,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\chop.xml
chortle,chortle.01,chuckle and snort,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\chortle.xml
chortle,chortle.02,move while chortling,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\chortle.xml
chronicle,chronicle.01,to record in a chronological order,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\chronicle.xml
chuck,chuck.01,"to throw, give up",2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\chuck.xml
chuckle,chuckle.01,laugh quietly,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\chuckle.xml
chuckle,chuckle.02,mode of speaking,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\chuckle.xml
chug,chug.01,make chugging noises,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\chug.xml
chug,chug.02,drink rapidly,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\chug.xml
chug,chug.03,move laboriously,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\chug.xml
churn,churn.01,move violently as a liquid,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\churn.xml
cinch,cinch.01,manipulate a belt,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cinch.xml
cinch,cinch.02,attach with a belt,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cinch.xml
cinch,cinch.03,make into a sure thing,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cinch.xml
circle,circle.01,to move in a circle,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\circle.xml
circle,circle.02,"to form a circle, enclose",3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\circle.xml
circulate,circulate.01,(cause to) go around,2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\circulate.xml
circumvent,circumvent.01,"avoid, get around",2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\circumvent.xml
cite,cite.01,refer to,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cite.xml
cite,cite.02,"give legal summons, ticket",3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cite.xml
claim,claim.01,assert,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\claim.xml
claim,claim.02,seize,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\claim.xml
clamber,clamber.01,to climb awkwardly,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clamber.xml
clamor,clamor.01,"call for noisily, demand",2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clamor.xml
clamp,clamp.01,attach firmly,2,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clamp.xml
clang,clang.01,to make a clang,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clang.xml
clank,clank.01,emit clanking noises,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clank.xml
clank,clank.02,move while making clanking noises,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clank.xml
clarify,clarify.01,make clear(er),3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clarify.xml
clash,clash.01,"to come into conflict, be in opposition",3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clash.xml
class,class.01,assign a label or attribute,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\class.xml
classify,classify.01,assign a label or attribute,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\classify.xml
classify,classify.02,make/keep secret,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\classify.xml
clean,clean.01,to free from dirt,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clean.xml
clean_up,clean.02,to make clean or orderly,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clean.xml
clean_out,clean.03,to empty from,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clean.xml
cleanse,cleanse.01,"make clean, empty",3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cleanse.xml
clear,clear.01,"clean, make clear or open",3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clear.xml
clear,clear.02,approve,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clear.xml
clear,clear.03,"escape, avoid",2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clear.xml
clear_up,clear.04,"become/make clear, clean",2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clear.xml
click,click.01,(cause to) emit clicking sound,2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\click.xml
climb,climb.01,intentional climber,2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\climb.xml
climb,climb.02,non-intentional climber; cf rise,5,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\climb.xml
clinch,clinch.01,make into a sure thing,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clinch.xml
cling,cling.01,stick to,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cling.xml
cling,cling.02,make a sound like a small bell,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cling.xml
clip,clip.01,"to cut, cut off, or cut out",3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clip.xml
clip_off,clip.02,"to cut, cut off, or cut out",3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clip.xml
cloak,cloak.01,"cover, as with a cloak",3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cloak.xml
clobber,clobber.01,hit repeatedly,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clobber.xml
clock,clock.01,measure the speed of something,4,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clock.xml
clock,clock.02,hit (on the head?),3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clock.xml
clog,clog.01,style of dance,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clog.xml
clog,clog.02,obstruct a passage,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clog.xml
clog_up,clog.03,"obstruct a passage, phrasal",3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clog.xml
clone,clone.01,copy,2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clone.xml
close,close.01,shut,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\close.xml
close,close.02,terminate,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\close.xml
close,close.03,"come about, come to completion (as of deals)",2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\close.xml
close,close.06,become nearer,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\close.xml
close_down,close.04,close down: terminate,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\close.xml
close_off,close.05,close off: shut,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\close.xml
close_in,close.07,close in: become nearer,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\close.xml
clothe,clothe.01,to dress,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clothe.xml
cloud,cloud.01,(cause to) be cloudy,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cloud.xml
club,club.01,to strike or beat with or as if with a club,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\club.xml
cluster,cluster.01,(cause to) be in a close group,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cluster.xml
clutch,clutch.01,to grasp and hold tightly,2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clutch.xml
clutch_on,clutch.02,to grasp and hold tightly,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clutch.xml
clutter,clutter.01,fill with random junk,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\clutter.xml
co-author,co-author.01,to write or construct jointly,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\co-author.xml
co-sponsor,co-sponsor.01,to sponsor together with another sponsor,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\co-sponsor.xml
coach,coach.01,lead an athletic team,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\coach.xml
coast,coast.01,to move effortlessly,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\coast.xml
coat,coat.01,"cover, apply something to a surface",3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\coat.xml
co-author,co-author.01,to write or construct jointly,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\coauthor.xml
coax,coax.01,try to induce action,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\coax.xml
cobble,cobble.01,build/create roughly,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cobble.xml
coddle,coddle.01,pamper,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\coddle.xml
coddle,coddle.02,cook in simmering water,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\coddle.xml
code,code.01,"make into a code, encrypt",2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\code.xml
code,code.02,write software,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\code.xml
codify,codify.01,"arrange, systematize",3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\codify.xml
coerce,coerce.01,to persuade,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\coerce.xml
cohere,cohere.01,(cause to) form a coherent whole,2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\cohere.xml
coin,coin.01,create something new,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\coin.xml
coincide,coincide.01,occur at the same time,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\coincide.xml
collaborate,collaborate.01,to work together,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\collaborate.xml
collapse,collapse.01,fall down,2,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\collapse.xml
collapse,collapse.02,stock reportage,4,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\collapse.xml
collect,collect.01,acquire,4,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\collect.xml
color,color.01,(cause to) have some color,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\color.xml
comb,comb.01,"to search, look through",3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\comb.xml
comb,comb.02,to straighten with a comb,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\comb.xml
combat,combat.01,fight,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\combat.xml
combine,combine.01,"combine, mix",4,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\combine.xml
come,come.01,motion,6,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come,come.12,come to: speaking of,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come,come.02,pursue (often with after),2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come,come.03,arise (from),2,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come,come.04,"become, various near-idioms",2,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come,come.05,buy,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come,come.14,idiom: come to terms with,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come,come.16,amount to,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come_about,come.06,come about: become,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come_in,come.07,"come in: become, arrive at state",2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come_on,come.08,come on: turn on,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come_out,come.09,come out: appear,2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come_out,come.10,come out: become publically gay,2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come_up,come.11,"come up: devise, bring forth",2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come_up,come.13,come up: arise unexpectedly,2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come_across,come.15,come across: seem,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come_through,come.17,"come through: fulfill, live up to",2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come_through,come.18,come through: become apparent,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come_along,come.19,come along: progress,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
come_by,come.20,come by: acquire,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\come.xml
comfort,comfort.01,cause to be comfortable or happy,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\comfort.xml
command,command.01,"get, as commodity",2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\command.xml
command,command.02,impelled action,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\command.xml
commemorate,commemorate.01,"honor with memorial, be a memorial",3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\commemorate.xml
commence,commence.01,begin,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\commence.xml
commend,commend.01,give praise,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\commend.xml
comment,comment.01,intransitive,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\comment.xml
comment,comment.02,basic transitive,4,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\comment.xml
commercialize,commercialize.01,to make commercial,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\commercialize.xml
commission,commission.01,"to grant a commission, authorize",3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\commission.xml
commit,commit.01,be strongly attached to,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\commit.xml
commit,commit.02,commit a crime,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\commit.xml
communicate,communicate.01,communicate,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\communicate.xml
commute,commute.01,go back and forth to/from work,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\commute.xml
commute,commute.02,make a law sentence more lenient,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\commute.xml
compact,compact.01,make compact,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compact.xml
compare,compare.01,compare,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compare.xml
compel,compel.01,"to force, drive",3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compel.xml
compensate,compensate.01,pay back,4,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compensate.xml
compete,compete.01,"compete, vie",3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compete.xml
compile,compile.01,collect,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compile.xml
complain,complain.01,bitch and moan,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\complain.xml
complement,complement.01,"go well with, fill out",2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\complement.xml
complete,complete.01,bring to an end,2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\complete.xml
complicate,complicate.01,make complicated,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\complicate.xml
compliment,compliment.01,give a compliment to,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compliment.xml
comply,comply.01,cooperate,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\comply.xml
compose,compose.01,"to form,  constitute",3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compose.xml
compose,compose.02,"to create, produce art",3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compose.xml
compound,compound.01,to combine or increase,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compound.xml
comprehend,comprehend.01,understand,2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\comprehend.xml
compress,compress.01,to press together or make more compact,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compress.xml
comprise,comprise.01,"to composed of, constitute",2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\comprise.xml
compromise,compromise.01,reach an agreement,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compromise.xml
compromise,compromise.02,lose security,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compromise.xml
compute,compute.01,to calculate,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\compute.xml
computerize,computerize.01,make work on/via computer,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\computerize.xml
con,con.01,fool,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\con.xml
con,con.02,"cheat, swindle",3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\con.xml
con,con.03,trick into doing something,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\con.xml
conceal,conceal.01,hide,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\conceal.xml
concede,concede.01,admit,2,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\concede.xml
conceive,conceive.01,think of,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\conceive.xml
conceive,conceive.02,make babies,1,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\conceive.xml
concentrate,concentrate.01,affix attention on,3,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\concentrate.xml
concentrate,concentrate.02,cause a reduction in volume (as of a liquid),2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\concentrate.xml
concern,concern.01,worry about,3,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\concern.xml
concern,concern.02,"deal with, have to do with",2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\concern.xml
conclude,conclude.01,decide,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\conclude.xml
conclude,conclude.02,bring to an end,4,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\conclude.xml
concoct,concoct.01,create something complicated,5,2,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\concoct.xml
concur,concur.01,to agree or cooperate,2,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\concur.xml
condemn,condemn.01,express strong disapproval of,4,3,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\condemn.xml
condition,condition.01,to make dependent on a condition,3,1,C:\Users\RAVIPRAKASH\Downloads\NLP Project\srl_qa_project\nltk_data\corpora\propbank\frames\condition.xml
